PROJECT_TYPE,APN,NAMEADDR,Alias,BESTSTAT,BESTDATE,Entitlement,PLN_CASENO,BP_APPLNO,PROPUSE,PLN_DESC,BP_DESC,UNITS,NET_UNITS,AFF_UNITS,NET_AFF_UNITS,TOTAL_GSF,NET_GSF,CIE,NET_CIE,MED,NET_MED,MIPS,NET_MIPS,PDR,NET_PDR,RET,NET_RET,VISIT,NET_VISIT,FILEDATE,PLANNER,APPLICANT,CONTACT,CONTACTPH,SOURCE,Supe_District,PLAN_AREA,PLAN_DISTRICT,NEIGHBORHOOD,ZONING_SIM,ZONING_DISTRICT,HEIGHT_DISTRICT,Location
Mixres,APN 3725093,925 MISSION ST,5M,PL FILED,2015-05-15T00:00:00,0,2011.0409,,,,"Project review for a development .  A mix of residential, office, retail and other uses on the approx. 4 acre site on the SE corner of 5th/ Mission and extending towards sixth street & south to Howard Street,  The site is comprised of 23 parcels.",688,688,58,58,617900,574800,17300,-23600,0,0,593500,591300,0,0,7100,7100,0,0,2011-07-27T00:00:00,KGUY,,,,CASE TRACKING,D6,Central SoMa; Downtown,Downtown,South of Market,C-3-S,DOWNTOWN SUPPORT,160-F,"{'latitude': '37.7821536544', 'longitude': '-122.406601109', 'needs_recoding': False}"
Mixres,APN 3746003,201 FOLSOM ST,Lumina,CONSTRUCTION,2015-07-23T00:00:00,-1,2000.1073,201207124717,,"Residential & Retail uses, and parking. Remove an existing US Postal Service surface parking lot and construct a new 38-40 story building with 806 residential units, ground floor retail, 806 off-street parking spaces for the residential use, 16 retail pa",Multiple Permits,669,669,0,0,23505,23505,0,0,0,0,0,0,0,0,23505,23505,0,0,2002-07-11T00:00:00,MSNYDER,,,,manual,D6,Rincon Hill,South of Market,South of Market,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY",400-W,"{'latitude': '37.7886820165', 'longitude': '-122.391851353', 'needs_recoding': False}"
Resident,APN 3737012,245 01ST ST,,BP FILED,2014-12-23T00:00:00,0,,201412234418,APARTMENTS,,"TO ERECT 55 STORIES, 2.5 BASEMENT, 603 UNITS RESIDENTIAL, RETAIL & PARKING BUILDING.
** MAHER: COMPL",603,603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D6,Transbay; Transit Center District,South of Market,Financial District,TB DTR,TRANSBAY DOWNTOWN RESIDENTIAL,50/85/550-TB,"{'latitude': '37.787900112', 'longitude': '-122.394594038', 'needs_recoding': False}"
Resident,APN 3911001,1 HENRY ADAMS ST,,CONSTRUCTION,2015-04-21T00:00:00,-1,2012.0701,201306250394,APARTMENTS,"Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,",Multiple Permits,560,560,0,0,0,15000,0,0,0,0,0,0,0,0,0,15000,0,0,2012-05-31T00:00:00,DSIDER,Robert Meyers,Robert Meyers,415-788-2777,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,South of Market,UMU,URBAN MIXED USE,68-X,"{'latitude': '37.7692014322', 'longitude': '-122.403472985', 'needs_recoding': False}"
Mixres,APN 3783001,801 BRANNAN ST,,CONSTRUCTION,2015-08-03T00:00:00,-1,2012.0700,201309045886,APARTMENTS,"Demolish an existing building (Concourse Exhibit Hall) containing 125,000 square feet of space and 280 surface parking spaces and construct new buildings extending up to 70 feet in height and containing 560 dwellings, 438 off-street parking space, and 8,","ERECT 6-STORY, 437 DWELLING UNITS, TYPE 1A& 3A, RESIDENTIAL/RETAIL/PAQRKING BUILDING.",557,557,55,55,8000,8000,0,0,0,0,0,0,0,0,8000,8000,0,0,2012-05-31T00:00:00,JKUGLER,Bay West,Robert Me,415 788-2,manual,D6,Showplace Square/Potrero Hill (EN),South of Market,South of Market,UMU,URBAN MIXED USE,68-X,"{'latitude': '37.7718238579', 'longitude': '-122.403882632', 'needs_recoding': False}"
Resident,APN 3702308,"TRINITY PLAZA, PHASE III","TRINITY PLAZA, PHASE III",CONSTRUCTION,2015-07-14T00:00:00,-1,2002.1179 (& 2009.0109),201209069080,,,"ERECT 19 STORIES, 6 BASEMENT WITH RESIDENTIAL & COMMERCIAL BUILDING.",550,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012-09-06T00:00:00,,,,,PERMIT TRACKING,D6,Downtown,Downtown,South of Market,C-3-G,DOWNTOWN- GENERAL,240-S,"{'latitude': '37.7784387635', 'longitude': '-122.413479759', 'needs_recoding': False}"
Mixres,APN 3506007,1500-1580 MISSION ST,GOODWILL,PL FILED,2014-12-18T00:00:00,0,2014-000362PRJ,,,"The proposed project would demolish two buildings, except for a portion of Mission Street frontage and clock tower of the 1500 Mission Street building and construct a mixed-use project. The mixed-use building would include ground-floor retail, residentia",,550,550,110,110,513000,426018,0,0,0,0,462000,447009,0,-5700,51000,36009,0,0,,KGUY,Related California Urban Housing,,415-677-9000,manual,D6,Market and Octavia; Downtown,Mission,South of Market,C-3-G,DOWNTOWN- GENERAL,85/250-R-2,"{'latitude': '37.7738221883', 'longitude': '-122.418417024', 'needs_recoding': False}"
Resident,APN 3736120,500 FOLSOM ST,,BP FILED,2015-03-11T00:00:00,0,,201503110506,APARTMENTS,,"TO ERECT 42 STORIES, 6 BASEMENTS, 545 UNITS RESIDENTIAL APARTMENT BUILDING.",545,545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,PERMIT TRACKING,D6,Transbay; Transit Center District,South of Market,Financial District,TB DTR,TRANSBAY DOWNTOWN RESIDENTIAL,50/165/400-TB,"{'latitude': '37.7872035554', 'longitude': '-122.39510677', 'needs_recoding': False}"
Mixres,APN 3833001,1000 16TH ST,Potrero1010,CONSTRUCTION,2012-09-07T00:00:00,-1,2003.0527,201112070227,,"The proposed project involves the construction of three building residential complex including 450 dwelling units, 26,500gsf of ground-floor retail space and 503 off-street parking spaces.  The project would include a partial street vacation to narrow th",,470,470,94,94,26500,26500,0,0,0,0,0,0,0,0,26500,26500,0,0,2006-02-23T00:00:00,KDURANDE,Andy Stewart,Daniel Murphy,(650)359-535,BLDG PERMIT,D10,Showplace Square/Potrero Hill (EN),South of Market,South of Market,UMU,URBAN MIXED USE,68-X,"{'latitude': '37.7671083406', 'longitude': '-122.396595168', 'needs_recoding': False}"
Mixres,APN 3747320,399 FREMONT ST,,CONSTRUCTION,2015-07-20T00:00:00,-1,2002.0449,200605161774,,"The proposal is to demolish the existing structure and construct a new structure that would include a 400-foot tower, 450 dwelling units, and 450 off-street parking spaces.",ERECT 41 STORIES 432 DWELLING RESIDENTIAL/PARKING BLDG.,452,452,0,0,33000,-2256,0,0,0,0,24500,24500,0,-35256,8500,8500,0,0,2006-04-18T00:00:00,MSNYDER,Katie Haley,Lucian Robert Blazej,415.695.1111,CASE TRACKING,D6,Rincon Hill,South of Market,South of Market,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,85/400-R,"{'latitude': '37.7873224333', 'longitude': '-122.392223707', 'needs_recoding': False}"
Mixres,APN 0857001,55 Laguna Street,,CONSTRUCTION,2015-07-30T00:00:00,-1,2004.0773,201209059006,,"Mixed-use project which would include construction of seven new buildings and the adaptive re-use of two existing buildings for 491 dwelling units, 421 off-street parking spaces, 3,500 GSF of retail use, 12,000 GSF for a dental clinic, and 12,590 GSF for",,450,450,160,160,3500,28090,0,12590,0,12000,0,0,0,0,3500,3500,0,0,2006-10-31T00:00:00,JKUGLER,Ruthy Bennett,Ruthy Bennett,510-267-4679,CASE TRACKING,D8,Market and Octavia,Buena Vista,Western Addition,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",40-X,"{'latitude': '37.7723498556', 'longitude': '-122.426278644', 'needs_recoding': False}"
Mixres,APN 0814001,150 VAN NESS AVE,,PL FILED,2014-04-23T00:00:00,0,2013.0973,,,"The proposed project is a 13 story, 429 unit residential bldg. on Hayes Street between Van Ness Avenue and Polk Street. The project would contain 512,010 gsf, including 410,760 sf of residential, 90,600 of subsurface parking and 9,000 sf of retail on the",,429,429,0,0,9000,-127558,0,0,0,0,0,-136558,0,0,9000,9000,0,0,2013-10-25T00:00:00,GMOSQUER,Marc Babsin,Marc Babsin,415-489-1313,CASE TRACKING,D6,Market and Octavia; Downtown,Downtown,Downtown/Civic Center,C-3-G,DOWNTOWN- GENERAL,120-R-2,"{'latitude': '37.7773006581', 'longitude': '-122.418295445', 'needs_recoding': False}"
Mixres,APN 3756003,350 08TH ST,,CONSTRUCTION,2015-07-30T00:00:00,-1,2007.1035,201307303137,,"Seven building mixed-use development for 416 rental dus in 384,000-sf, with 50K-sf retail, 8,700-sf industrial/studio, and 409-space below ground parking on site of SOMA busyard, block bounded by 8th Street, Harrison, Ringold, Gordon, totaling 634,000-sf","TO ERECT 6 STORIES, 1 BASEMENT, 408 RESIDENTIAL UNITS WITH COMMERCIAL & PARKING BUILDING.",410,410,62,62,61700,56700,0,0,0,0,0,0,8700,3700,53000,53000,0,0,2007-09-07T00:00:00,DSANCHEZ,Amir Massih,Amir Massih,415 503 2207,CASE TRACKING,D6,Western SoMa (EN); South of Market,South of Market,South of Market,WMUG,WSOMA MIXED USE-GENERAL,55/65-X,"{'latitude': '37.7736941666', 'longitude': '-122.40965844', 'needs_recoding': False}"
Resident,APN 3736078A,57 TEHAMA ST,,BP REINSTATED,2015-07-20T00:00:00,-1,,201404304554,,,"TO ERECT 35 STORIES, 3 BASEMENT, 418 RESIDNETIAL UNITS WITH MIX USED & PARKING BUILDING. (R-2,B,A-3,",403,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,JKUGLER,Birmingha,During As,415 986-0,CASE TRACKING,D6,Transbay; Transit Center District; Downtown,South of Market,Financial District,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),360-S,"{'latitude': '37.7873947486', 'longitude': '-122.396093313', 'needs_recoding': False}"
Resident,APN 3736074,41 TEHAMA ST,,PL APPROVED,2013-11-14T00:00:00,-1,2013.0256,,,"The proposed project at 41 Tehama Street would construct a 360-foot tall, 35 story, 402, 217 square-foot building, with 398 dwelling units.  The project site is currently a surface parking lot with a one-story, 400 square-foot structure used as a valet p",,398,398,49,49,57927,39052,0,0,0,0,0,0,0,0,0,0,0,0,2013-08-08T00:00:00,JKUGLER,Nancy Clark,Nancy Clark,415-536-2883,CASE TRACKING,D6,Transbay; Transit Center District; Downtown,South of Market,Financial District,C-3-O(SD),DOWNTOWN- OFFICE (SPECIAL DEVELOPMENT),360-S,"{'latitude': '37.7869780545', 'longitude': '-122.396622398', 'needs_recoding': False}"
Mixres,APN 3949001,1200 17TH STREET,,PL FILED,2012-04-04T00:00:00,0,2011.1300,,,"The proposed project will demolish metal warehouses and temporary office buildings; preserve and rehabilitate brick office building; lot line adjustment to create two lots, construct approximately 200 residential units in 4-story building on 17th Street;",,395,395,0,0,24468,9468,0,0,0,0,0,-4500,0,-105000,24468,24468,0,0,2012-04-04T00:00:00,WWIETGRE,Attn: Indrajit Obeysekere,Jay Murphy,415-833-1231,CASE TRACKING,D10,Showplace Square/Potrero Hill (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,68-X,"{'latitude': '37.7661247079', 'longitude': '-122.395473061', 'needs_recoding': False}"
Mixres,APN 3748006,340 FREMONT ST,,BP FILED,2012-08-03T00:00:00,-1,2004.0552,201208036505,,"Demolition of two existing building and construction of two residential buildings with up to 355 dwelling units, 2,335 GSF, and 336 off-street parking spaces.","TO ERECT 40 STORIES, 3 BASEMENT, 345 UNITS OF RESIDENTIAL WITH COMMERCIAL OFFICE, ASSEMBLY, STORAGE & PARKING.",355,355,0,0,2350,-42650,0,0,0,0,0,-45000,0,0,2350,2350,0,0,2006-05-12T00:00:00,JKUGLER,Oyster Development Corp.,Andrew Junius,567-9000,CASE TRACKING,D6,Rincon Hill,South of Market,South of Market,RH DTR,RINCON HILL DOWNTOWN RESIDENTIAL,85/250-R,"{'latitude': '37.7871196058', 'longitude': '-122.393231214', 'needs_recoding': False}"
Resident,APN 3553052,1979 MISSION ST,,BP FILED,2013-12-17T00:00:00,0,2013.1543,201312174382,APARTMENTS,"Proposes to demolish all existing improvements on the project site and to contruct a 5 to 10 story up to 105' high, 345,013 sq.ft. building exclusive of a 56,643 sq.ft. basement parking garage. Off-street parking that meets the Planning Code requirements",ERECT 10-STORY MIXED-USE NEW BUILDING.,351,351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,DVU,,,,PERMIT TRACKING,D9,Mission (EN),Mission,Mission,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,"{'latitude': '37.7655813755', 'longitude': '-122.419123068', 'needs_recoding': False}"
Resident,APN 4105009,800 INDIANA STREET,,PL FILED,2013-10-10T00:00:00,0,2011.1374,,,The proposed project is the demolition of the existing Opera Warehouse and construction of a new 340-unit multi-family units and 294 parking spaces. The project would be constructed in six building with a semi subterraen parking garage.,,340,340,0,0,0,-78240,0,0,0,0,0,0,0,-78240,0,0,0,0,2013-10-10T00:00:00,RSUCRE,Lou Vasquez,Joe Kirchofer,415-284-9080,CASE TRACKING,D10,Central Waterfront (EN),South of Market,Potrero Hill,UMU,URBAN MIXED USE,58-X,"{'latitude': '37.7591964033', 'longitude': '-122.391729047', 'needs_recoding': False}"
