Region,FR,DFL,TP,DLG,OS(W),OS(NPW),OS(P),OS(NPP),SIMS,OC1,OC2,Total,date
Total,9783,17979,14824,412595,179370,2977,28616,141,27500,713103,172059,1578947,2015-07-31
East Anglia,694,729,834,16373,7772,92,1413,27,1382,26111,8549,63976,2015-07-31
East Midlands,1083,1075,1639,30865,13355,186,2255,8,1996,46413,11126,110001,2015-07-31
Greater London,292,5428,640,65846,29511,707,5592,12,3683,158032,37790,307533,2015-07-31
Isles of Scilly,0,1,0,4,1,0,2,0,2,22,0,32,2015-07-31
North,524,671,1483,20596,8225,151,1358,0,1398,32058,6901,73365,2015-07-31
North West,1099,1819,1027,45012,19472,332,2679,3,3786,80475,17525,173229,2015-07-31
South East,1547,3939,3366,94676,43662,637,6651,70,5657,161538,42086,363829,2015-07-31
South West,1447,1294,1842,44321,18823,296,3176,11,3190,65479,16777,156656,2015-07-31
Wales,1023,521,856,22114,8463,139,1148,1,1571,31587,6113,73536,2015-07-31
West Midlands,1018,1399,1578,39468,15311,253,2180,8,2491,60063,13724,137493,2015-07-31
Yorks & Humber,1056,1103,1559,33320,14775,184,2162,1,2344,51290,11360,119154,2015-07-31
England & Wales (not assigned),0,0,0,0,0,0,0,0,0,35,108,143,2015-07-31
Total,10541,15740,12581,385281,168220,2808,31460,138,37674,612543,137799,1414785,2014-06-30
East Anglia,770,623,750,16583,6785,149,1669,28,2009,23704,5567,58637,2014-06-30
East Midlands,1348,1055,1391,30214,11464,196,2699,7,3042,40286,9087,100789,2014-06-30
Greater London,335,5084,621,61643,25867,284,5253,29,4953,133310,29329,266708,2014-06-30
Isles of Scilly,1,1,0,8,4,0,0,0,1,20,3,38,2014-06-30
North,418,553,679,18010,7836,149,1875,0,1850,27588,5602,64560,2014-06-30
North West,987,1700,1067,39238,25696,320,3057,2,4766,70304,14095,161232,2014-06-30
South East,1538,2982,3176,95360,37160,675,7004,51,7956,136053,34559,326514,2014-06-30
South West,1693,1312,1678,38823,18327,206,3667,10,4274,56126,13971,140087,2014-06-30
Wales,1165,467,804,18927,7398,178,1293,1,2284,26544,5591,64652,2014-06-30
West Midlands,1211,978,1326,33916,14321,421,2561,8,3345,49152,10471,117710,2014-06-30
Yorks & Humber,1074,985,1089,32559,13362,230,2382,2,3194,49447,9463,113787,2014-06-30
England & Wales (not assigned),1,0,0,0,0,0,0,0,0,9,61,71,2014-06-30
Total,8954,14845,10987,396976,147900,2715,23447,145,38975,587114,128358,1360416,2014-05-31
East Anglia,741,699,674,16061,6442,203,1115,15,2175,21519,5134,54778,2014-05-31
East Midlands,917,931,1146,30490,11172,185,1926,9,3215,38749,9085,97825,2014-05-31
Greater London,302,4585,548,62671,24287,360,4373,21,4620,131181,27431,260379,2014-05-31
Isles of Scilly,1,0,11,26,2,0,1,0,2,18,5,66,2014-05-31
North,405,527,517,19250,7603,123,1435,0,1772,26297,5332,63261,2014-05-31
North West,860,1577,928,49829,15548,327,2096,0,4790,63657,12259,151871,2014-05-31
South East,1414,2896,2798,94810,35654,555,5094,70,8034,133213,32505,317043,2014-05-31
South West,1371,1167,1516,39879,15261,287,2832,21,4537,54766,13381,135018,2014-05-31
Wales,920,467,632,19529,7222,150,1016,2,3005,26389,4702,64034,2014-05-31
West Midlands,1010,986,1202,32958,12497,251,1924,4,3546,47403,9618,111399,2014-05-31
Yorks & Humber,1011,1010,1015,31472,12212,274,1635,3,3279,43906,8855,104672,2014-05-31
England & Wales (not assigned),2,0,0,1,0,0,0,0,0,16,51,70,2014-05-31
East Anglia,810,701,777,15750,6574,249,1218,18,2145,21032,5131,54405,2014-04-30
East Midlands,1132,863,1351,27683,11288,205,1803,8,3383,39967,8146,95829,2014-04-30
Greater London,253,4938,603,58032,24027,402,4543,22,4861,126791,27187,251659,2014-04-30
Isles of Scilly,2,2,2,21,1,0,0,0,1,22,2,53,2014-04-30
North,594,606,876,17981,7264,115,938,1,1960,26469,5437,62241,2014-04-30
North West,1203,1638,989,38582,15476,341,1859,2,4839,61391,11979,138299,2014-04-30
South East,1515,2976,2854,86929,34800,509,5312,43,8386,131595,31749,306668,2014-04-30
South West,1574,1177,1564,36107,14856,243,2807,13,4529,52864,12520,128254,2014-04-30
Wales,973,486,743,17523,7005,153,972,2,2750,25718,4520,60845,2014-04-30
West Midlands,1222,991,1360,31093,12181,323,1930,4,3752,47888,9940,110684,2014-04-30
Yorks & Humber,1148,958,1278,29376,12537,220,1675,2,3432,44215,8929,103770,2014-04-30
England & Wales (not assigned),5,0,0,0,0,0,0,0,0,11,81,97,2014-04-30
,,,,,,,,,,,,,2014-04-30
,,,,,,,,,,,,,2014-04-30
,,,,,,,,,,,,,2014-04-30
Total,12936,18390,14353,342353,151620,3210,25928,173,46433,623201,126626,1365223,2014-03-31
East Anglia,1040,641,889,14098,6505,102,1372,39,2435,22754,5169,55044,2014-03-31
East Midlands,1534,985,1275,26773,11311,257,2109,6,3685,40867,8643,97445,2014-03-31
Greater London,268,5973,645,55107,24881,508,5083,19,5531,138356,27209,263580,2014-03-31
Isles of Scilly,2,0,1,9,3,0,6,0,2,19,2,44,2014-03-31
North,1115,739,1025,17820,7398,171,1167,1,2203,29756,5260,66655,2014-03-31
North West,1564,1717,1739,36142,16780,371,2308,0,5922,69044,11855,147442,2014-03-31
South East,1759,3747,3130,79557,36539,709,5668,65,10188,138664,32012,312038,2014-03-31
South West,2057,1525,1955,33779,15498,268,2919,22,5263,56479,13157,132922,2014-03-31
Wales,1087,549,706,17357,7384,193,1113,0,3133,28492,4525,64539,2014-03-31
West Midlands,1259,1226,1489,31755,12887,278,2182,17,4223,51412,9896,116624,2014-03-31
Yorks & Humber,1247,1288,1499,29956,12434,353,2001,4,3848,47347,8839,108816,2014-03-31
England & Wales (not assigned),4,0,0,0,0,0,0,0,0,11,59,74,2014-03-31
Total,11983,17173,13708,336628,137713,3393,21373,132,48572,592046,119122,1301843,2014-02-28
East Anglia,854,814,899,14258,6094,96,1157,18,2458,21369,5058,53075,2014-02-28
